1329558328|2012|02|18|10|45|28|Mozilla/5.0 (Windows NT 6.1; rv:10.0.1) Gecko/20100101 Firefox/10.0.1|127.0.0.1
1329615974|2012|02|19|02|46|14|Mozilla/5.0 (Windows NT 6.1; rv:10.0.2) Gecko/20100101 Firefox/10.0.2|127.0.0.1
1329615980|2012|02|19|02|46|20|Mozilla/5.0 (Windows NT 6.1; rv:10.0.2) Gecko/20100101 Firefox/10.0.2|127.0.0.1
1329615981|2012|02|19|02|46|21|Mozilla/5.0 (Windows NT 6.1; rv:10.0.2) Gecko/20100101 Firefox/10.0.2|127.0.0.1
1329615983|2012|02|19|02|46|23|Mozilla/5.0 (Windows NT 6.1; rv:10.0.2) Gecko/20100101 Firefox/10.0.2|127.0.0.1
1329615984|2012|02|19|02|46|24|Mozilla/5.0 (Windows NT 6.1; rv:10.0.2) Gecko/20100101 Firefox/10.0.2|127.0.0.1
1329615985|2012|02|19|02|46|25|Mozilla/5.0 (Windows NT 6.1; rv:10.0.2) Gecko/20100101 Firefox/10.0.2|127.0.0.1
1329615987|2012|02|19|02|46|27|Mozilla/5.0 (Windows NT 6.1; rv:10.0.2) Gecko/20100101 Firefox/10.0.2|127.0.0.1
1329616626|2012|02|19|02|57|06|Mozilla/5.0 (Windows NT 6.1; rv:10.0.2) Gecko/20100101 Firefox/10.0.2|127.0.0.1
1329616634|2012|02|19|02|57|14|Mozilla/5.0 (Windows NT 6.1; rv:10.0.2) Gecko/20100101 Firefox/10.0.2|127.0.0.1
1329616636|2012|02|19|02|57|16|Mozilla/5.0 (Windows NT 6.1; rv:10.0.2) Gecko/20100101 Firefox/10.0.2|127.0.0.1
1329616842|2012|02|19|03|00|42|Mozilla/5.0 (Windows NT 6.1; rv:10.0.2) Gecko/20100101 Firefox/10.0.2|127.0.0.1
1329616844|2012|02|19|03|00|44|Mozilla/5.0 (Windows NT 6.1; rv:10.0.2) Gecko/20100101 Firefox/10.0.2|127.0.0.1
1330462763|2012|02|28|14|59|23|Mozilla/5.0 (Windows NT 5.1; rv:10.0.2) Gecko/20100101 Firefox/10.0.2|127.0.0.1
1361789791|2013|02|25|06|26|31|Mozilla/5.0 (Windows NT 6.1; rv:19.0) Gecko/20100101 Firefox/19.0|127.0.0.1
